url,image,title,date,shop,price,comparative_unit,comparative_unit_price,discount,discount_price,comparative_unit_discount_price,valid_until,weight
https://barbora.lt/produktai/karstai-rukytos-skumbres-ocean-isdarinetos-be-galvu-1-kg,https://cdn.barbora.lt/products/b27db418-080a-48e1-afe4-9b952e858517_s.png,"Karštai rūkytos skumbrės OCEAN, išdarinėtos, be galvų, 1 kg",2025-08-10,MAXIMA,7.49,kg,7.49,False,7.49,7.49,,
https://www.lastmile.lt/chain/IKI/product/IKI-Karstai-rukyta-atlantine-skumbre-isdarineta-be-galvos-263311,https://firebasestorage.googleapis.com/v0/b/lastmile-ui/o/import%2Fphotos%2Fconverted%2Fproduct%2FphotoUrl%2FCvKfTzV4TN5U8BTMF1Hl_263311_OrXUvGAuc2NCJDRvzNOTXOM3rsp1_z9ThW94DO6fZoePQAj1P.webp?alt=media&token=98852631-2d3b-4dbe-8d26-0548f6f706e5,IKI Karštai rūkyta atlantinė skumbrė išdarinėta be galvos ,2025-08-10,IKI,7.99,kg,7.99,False,7.99,7.99,,
https://www.rimi.lt/e-parduotuve/lt/produktai/mesa-ir-zuvis-/apdorotos-zuvies-gaminiai/karstai-ir-saltai-rukyta-zuvis/karstai-rukyta-skumbre-vakuume-rimi-1-kg/p/811646,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_811646_KGM_LT","Karštai rūkyta skumbrė vakuume RIMI, 1 kg",2025-08-10,RIMI,7.19,kg,7.19,False,7.19,7.19,,
https://barbora.lt/produktai/bananai-1-kg,https://cdn.barbora.lt/products/1d747537-6760-4098-ab24-8c658d1f9491_s.png,"Bananai, 1 kg",2025-08-10,MAXIMA,1.39,kg,1.39,False,1.39,1.39,,
https://www.lastmile.lt/chain/IKI/product/Bananai-BON-VIA-287376,https://firebasestorage.googleapis.com/v0/b/lastmile-ui/o/import%2Fphotos%2Fconverted%2Fproduct%2FphotoUrl%2FCvKfTzV4TN5U8BTMF1Hl_287376_OrXUvGAuc2NCJDRvzNOTXOM3rsp1_aBXvYpmpuirf5UZ4Hfbr.webp?alt=media&token=ae6758e6-b7fb-40c8-977c-b4cd0ed84b55,Bananai BON VIA,2025-08-10,IKI,1.39,kg,1.39,True,0.79,0.79,2025-08-10,
https://www.rimi.lt/e-parduotuve/lt/produktai/vaisiai-darzoves-ir-geles/vaisiai-ir-uogos/bananai/bananai-cavendish-20-cm-1kg/p/270939,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_270939_KGM_LT","Bananai Cavendish, 20+cm , 1kg",2025-08-10,RIMI,1.39,kg,1.39,True,0.79,0.79,2025-08-10,
https://barbora.lt/produktai/ant-kraiko-laikomu-vistu-kiausiniai-10-vnt-10-vnt,https://cdn.barbora.lt/products/7a442559-0a9a-4faf-b69e-02c1d5a44e07_s.png,"Ant kraiko laikomų vištų kiaušiniai, 10 vnt.",2025-08-10,MAXIMA,2.15,vnt.,0.22,False,2.15,0.22,,
https://www.rimi.lt/e-parduotuve/lt/produktai/pieno-produktai-ir-kiausiniai/kiausiniai/2---ant-kraiko-laikomu-vistu-kiausiniai-/vistu-kiausiniai-rimi-a-lm-nr-2-10vnt/p/816323,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_816323_PCE_LT","Vištų kiaušiniai RIMI, A/LM Nr.2, 10vnt",2025-08-10,RIMI,2.15,vnt,0.22,False,2.15,0.22,,
https://www.lastmile.lt/chain/IKI/product/Kiausiniai-IKI-ant-kraiko-laikomu-vistu-M-dydzio-rudu-lukstu-Nr2-10-vnt-281345,https://firebasestorage.googleapis.com/v0/b/lastmile-ui/o/import%2Fphotos%2Fconverted%2Fproduct%2FphotoUrl%2FCvKfTzV4TN5U8BTMF1Hl_281345_OrXUvGAuc2NCJDRvzNOTXOM3rsp1_cLOm7b0peLnoC0bXi09j.webp?alt=media&token=87b3faeb-79fb-46ee-95cc-ab29744962a9,"Kiaušiniai IKI ant kraiko laikomų vištų M dydžio, rudu lukštu, Nr.2, 10 vnt",2025-08-10,IKI,2.49,vnt,0.25,False,2.49,0.25,,
https://barbora.lt/produktai/sald-avietes-well-done-400-g-400-g,https://cdn.barbora.lt/products/248e6af1-850b-4674-bbe1-f154b3a1425b_s.png,"Šaldytos avietės WELL DONE, 400 g",2025-08-10,MAXIMA,3.59,kg,8.98,False,3.59,8.98,,
https://www.rimi.lt/e-parduotuve/lt/produktai/saldytas-maistas/saldytos-darzoves-vaisiai-ir-uogos/saldyti-vaisiai-ir-uogos/saldytos-avietes-rimi-400-g/p/811678,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_811678_PCE_LT","Šaldytos avietės RIMI, 400 g",2025-08-10,RIMI,4.59,kg,11.47,False,4.59,11.47,,
