url,image,title,date,shop,price,comparative_unit,comparative_unit_price,discount,discount_price,comparative_unit_discount_price,valid_until,weight
https://www.lastmile.lt/chain/IKI/product/Avietes-250-g-84657,https://storage.googleapis.com/download/storage/v1/b/lastmile-ui/o/import%2Fphotos%2Fconverted%2Fproduct%2FCvKfTzV4TN5U8BTMF1Hl_84657_CvKfTzV4TN5U8BTMF1Hl_webpConverter_1_big.webp?generation=1698234840183849&alt=media,"Avietės, 250 g",2025-09-02,IKI,4.79,kg,19.16,True,3.99,15.96,2025-09-02,0.27
https://www.rimi.lt/e-parduotuve/lt/produktai/bakaleja/konservuotas-maistas/uogienes-dzemai-ir-tyres/avieciu-uogiene-kedainiu-konservai-430-g/p/164482,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_164482_PCE_LT","Aviečių uogienė KĖDAINIŲ KONSERVAI, 430 g",2025-09-02,RIMI,3.89,kg,9.05,True,2.89,6.72,2025-09-08,0.43
https://www.lastmile.lt/chain/PROMO-CashandCarry/product/Dziovinti-krapai-100-g-V3125E3,https://firebasestorage.googleapis.com/v0/b/lastmile-ui/o/import%2Fphotos%2Fconverted%2Fproduct%2FphotoUrl%2FOiGzdqIuls86njWsPYmw_V3125E3_Pos12xpkYpPSKaVDW3jqu7xnlg23_rzkhgKFqEg0ZBunO0MGb.webp?alt=media&token=59de1eb8-bde5-48cd-a861-6e6331c65565,"Džiovinti krapai, 100 g",2025-09-02,IKI,0.86,kg,1.72,True,0.72,1.44,2025-09-02,0.5
https://www.lastmile.lt/chain/IKI/product/Bananai-BON-VIA-287376,https://firebasestorage.googleapis.com/v0/b/lastmile-ui/o/import%2Fphotos%2Fconverted%2Fproduct%2FphotoUrl%2FCvKfTzV4TN5U8BTMF1Hl_287376_OrXUvGAuc2NCJDRvzNOTXOM3rsp1_aBXvYpmpuirf5UZ4Hfbr.webp?alt=media&token=ae6758e6-b7fb-40c8-977c-b4cd0ed84b55,Bananai BON VIA,2025-09-02,IKI,1.39,kg,1.39,True,0.99,0.99,2025-09-07,1.0
https://www.rimi.lt/e-parduotuve/lt/produktai/vaisiai-darzoves-ir-geles/darzoves-ir-grybai/burokeliai-ir-kiti-sakniavaisiai/ridikeliai-300-g/p/997068,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_997068_PCE_LT","Ridikėliai, 300 g",2025-09-02,RIMI,1.49,kg,4.97,True,0.79,2.63,2025-09-08,0.3
https://www.lastmile.lt/chain/IKI/product/IKI-Karstai-rukyta-atlantine-skumbre-isdarineta-be-galvos-263311,https://firebasestorage.googleapis.com/v0/b/lastmile-ui/o/import%2Fphotos%2Fconverted%2Fproduct%2FphotoUrl%2FCvKfTzV4TN5U8BTMF1Hl_263311_OrXUvGAuc2NCJDRvzNOTXOM3rsp1_z9ThW94DO6fZoePQAj1P.webp?alt=media&token=98852631-2d3b-4dbe-8d26-0548f6f706e5,IKI Karštai rūkyta atlantinė skumbrė išdarinėta be galvos ,2025-09-02,IKI,7.99,kg,7.99,True,6.99,6.99,2025-09-07,1.0
https://www.rimi.lt/e-parduotuve/lt/produktai/bakaleja/pasaulio-skoniai/kokosu-pienas/kokosu-gerimas-aji-400ml/p/182692,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_182692_PCE_LT","Kokosų gėrimas AJI, 400ml",2025-09-02,RIMI,2.09,l,5.22,True,1.45,3.62,2025-09-08,0.4
https://www.lastmile.lt/chain/IKI/product/Baltosios-paprikos-2511,https://storage.googleapis.com/download/storage/v1/b/lastmile-ui/o/import%2Fphotos%2Fconverted%2Fproduct%2FCvKfTzV4TN5U8BTMF1Hl_WfAs05a1U7zdgqFDKp4U_CvKfTzV4TN5U8BTMF1Hl_webpConverter_1_big.webp?generation=1698237160652306&alt=media,Baltosios paprikos ,2025-09-02,IKI,2.99,kg,2.99,True,2.09,2.09,2025-09-07,1.0
https://www.lastmile.lt/chain/IKI/product/Raudonosios-paprikos-BON-VIA-2507,https://firebasestorage.googleapis.com/v0/b/lastmile-ui/o/import%2Fphotos%2Fconverted%2Fproduct%2FphotoUrl%2FCvKfTzV4TN5U8BTMF1Hl_2507_OrXUvGAuc2NCJDRvzNOTXOM3rsp1_pHIMRgmLXZ40wxxu2EoW.webp?alt=media&token=df75c9c1-8a18-4331-8a25-2c3d493fdf28,Raudonosios paprikos BON VIA,2025-09-02,IKI,3.49,kg,3.49,True,2.44,2.44,2025-09-07,1.0
https://barbora.lt/produktai/pomidoru-pasta-30-proc-extra-line-180-g,https://cdn.barbora.lt/products/e1ebe0ad-c3ac-4a43-8cce-0c7a2a235d5c_s.png,"Pomidorų pasta 30% EXTRA LINE, 180 g",2025-09-02,MAXIMA,0.69,kg,3.83,True,0.52,2.87,2025-09-08,0.18
